SERIAL,NOMBRE_PRODUCTO,SEGMENTO,PROVEEDOR,RUBRO,SUB_CATEGORIA
7591016205716,LECHE EN POLVO CON HIERRO Y VITAMINAS LA CAMPESINA 800GR,MISCELANEOS,NESTLÉ VENEZUELA S.A.,MISCELANEOS,COMESTIBLES
4048846010711,SPIRIVA RESPIMAT TIOTROPIO X 2.5 MICRGR BOEHRINGER INGELHEIM,FARMACIA,X,FARMACIA,RX
7702018913688,DESODORANTE GEL GILLETTE POWER RUSH  82G,MISCELANEOS,"ALIMENTOS POLAR COMERCIAL, C.A.",MISCELANEOS,CUIDADO PERSONAL
4005808803033,CREMA CORPORAL NIVEA EXPRESS HIDRATION 48 HRS PIEL NORMAL 400 ML,MISCELANEOS,EL BOMBON DORADO C.A,MISCELANEOS,CUIDADO PERSONAL
7590027002680,BISOPROLOL 5MG X 20COMP SPEFAR,FARMACIA,X,FARMACIA,RX
7597134000714,LOCHITA 500MG 70 CAP LA ABEJITA,FARMACIA,X,FARMACIA,OTC
7591585213402,ARTRODAR 50MG (DIACEREINA) X 30CAP LETI,FARMACIA,X,FARMACIA,RX
7599963000019,JABON DE TOCADOR MIMLOT ALOE VERA 125G,MISCELANEOS,"INDUSTRIAS JAI, C.A",MISCELANEOS,CUIDADO PERSONAL
7599963000033,JABON DE TOCADOR MIMLOT LIMON 125G,MISCELANEOS,"INDUSTRIAS JAI, C.A",MISCELANEOS,CUIDADO PERSONAL
7592430000734,UVA VITAL ANTIOXIDANTE X30CAP COSMELAB,FARMACIA,X,FARMACIA,OTC
7591473005232,ARROZ MARY ESMERALDA 900G,MISCELANEOS,"DISTRIBUIDORA UNIDA DEL CENTRO,C.A",MISCELANEOS,COMESTIBLES
725765043207,SET DE CIRUGIA CAPILAR NK SENTIDOS SENSIBLES 450ML X2PCS,MISCELANEOS,"COMERCIALIZADORA CLAUDIA & SIMON,C.A",MISCELANEOS,CUIDADO PERSONAL
7591062013303,LIOLACTIL (LACTOBACILLUS  RAMNHOSUS) X 1 SOBRE 1.5 ELMOR,FARMACIA,SIN DATA,SIN DATA,SIN DATA
1180201379255,PAÑALES MIMLOT XXG +16KG X 18UND,MISCELANEOS,"INDUSTRIAS JAI, C.A",MISCELANEOS,BEBE
7591020009157,ARCOVAL (ETORICOXIB) 60MG X 7 TAB VALMOR,FARMACIA,X,FARMACIA,RX
8801038514932,AFEITADORA DORCO ROSADA TG708N X 5UND,MISCELANEOS,"ALIVE CORPORACION DE VZLA, C.A",MISCELANEOS,CUIDADO PERSONAL
7509546075013,JABON DE BAÑO NEUTRO BALANCE PALMOLIVE 100G,MISCELANEOS,"IMPORTADORA FH44, C.A",MISCELANEOS,CUIDADO PERSONAL
7506309837246,CREMA PARA PEINAR PANTENE RESTAURACION 300ML,MISCELANEOS,"ALIMENTOS POLAR COMERCIAL, C.A.",MISCELANEOS,CUIDADO PERSONAL
7501006721133,SHAMPOO PANTENE RESTAURACION 400ML,MISCELANEOS,"ALIMENTOS POLAR COMERCIAL, C.A.",MISCELANEOS,CUIDADO PERSONAL
7592432900193,"CEVAX ZINC 50MG/7,5MG  X30 CAP VIVAX",FARMACIA,X,FARMACIA,OTC
7591062900900,COLFENE (IBUPROFENO/TIOCOLCHICOSIDO) 600MG/4MG X15 COMP ELMOR,FARMACIA,X,FARMACIA,RX
7591619000985,"DERMOSUPRIL 0,1%(DESONIDA)  CREMA TOPICA 15GR MEDIHEALTH",FARMACIA,X,FARMACIA,RX
7590027001997,KETOROLAC TROMETAMINA 20MG. X10COMP SPEFAR,FARMACIA,X,FARMACIA,RX
7591519317411,LASIX (FUROSEMIDA) 20MG. X24COMP MCK,FARMACIA,X,FARMACIA,RX
7591585214881,LETISAN 100MG/ML SOLUCION ORAL 120ML LETI,FARMACIA,X,FARMACIA,OTC
7591196002945,AIRON 4 MG X 30 TAB MASTICABLES PEDIATRICA  OFTALMI,FARMACIA,X,FARMACIA,RX
7591619002774,COROPRES 32 MG X 30 COMP ROMMERS,FARMACIA,X,FARMACIA,RX
7591141225054,MCCORMICK INFUSION FRUTOS ROJOS X 20 BOLSAS,MISCELANEOS,SIN DATA,SIN DATA,SIN DATA
7591039770734,MAIZINA AMERICANA 120 G,MISCELANEOS,"SUMINISTROS F.V.R, C.A.",MISCELANEOS,COMESTIBLES
